analyze-counts --verbose=1 --binary=false --counts-dim=1280 'ark:ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl "ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |" ark:- |' exp_FG/blstm4i/ali_train_pdf.counts 
ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl 'ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |' ark:- 
LOG (ali-to-pdf[5.5.1074~1-71f3]:main():ali-to-pdf.cc:68) Converted 2919 alignments to pdf sequences.
LOG (analyze-counts[5.5.1074~1-71f3]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
325	(0.000389491),	222	
327	(0.000391888),	132	
327	(0.000391888),	778	
327	(0.000391888),	1060	
327	(0.000391888),	1259	
328	(0.000393086),	317	
328	(0.000393086),	364	
329	(0.000394285),	472	
330	(0.000395483),	1160	
331	(0.000396682),	270	
331	(0.000396682),	1047	
331	(0.000396682),	1110	
332	(0.00039788),	813	
332	(0.00039788),	1207	
333	(0.000399079),	829	
335	(0.000401476),	782	
335	(0.000401476),	1143	
336	(0.000402674),	423	
336	(0.000402674),	705	
337	(0.000403872),	116	
337	(0.000403872),	727	
337	(0.000403872),	1076	
338	(0.000405071),	395	
338	(0.000405071),	901	
339	(0.000406269),	196	
339	(0.000406269),	594	
339	(0.000406269),	890	
339	(0.000406269),	1003	
340	(0.000407468),	549	
342	(0.000409865),	15	
342	(0.000409865),	129	
342	(0.000409865),	662	
342	(0.000409865),	799	
343	(0.000411063),	1238	
344	(0.000412261),	1242	
345	(0.00041346),	22	
345	(0.00041346),	190	
345	(0.00041346),	360	
345	(0.00041346),	392	
345	(0.00041346),	638	
345	(0.00041346),	1080	
345	(0.00041346),	1241	
346	(0.000414658),	870	
346	(0.000414658),	991	
347	(0.000415857),	262	
347	(0.000415857),	921	
348	(0.000417055),	795	
349	(0.000418254),	623	
349	(0.000418254),	715	
349	(0.000418254),	909	
349	(0.000418254),	1115	
350	(0.000419452),	191	
350	(0.000419452),	466	
350	(0.000419452),	667	
350	(0.000419452),	1192	
351	(0.00042065),	788	
351	(0.00042065),	985	
352	(0.000421849),	625	
352	(0.000421849),	911	
352	(0.000421849),	1187	
353	(0.000423047),	733	
354	(0.000424246),	216	
354	(0.000424246),	252	
354	(0.000424246),	517	
354	(0.000424246),	1059	
355	(0.000425444),	770	
355	(0.000425444),	893	
355	(0.000425444),	1277	
356	(0.000426643),	151	
356	(0.000426643),	478	
356	(0.000426643),	925	
357	(0.000427841),	28	
357	(0.000427841),	604	
358	(0.00042904),	576	
358	(0.00042904),	879	
358	(0.00042904),	1239	
359	(0.000430238),	135	
359	(0.000430238),	962	
360	(0.000431436),	147	
360	(0.000431436),	461	
360	(0.000431436),	668	
361	(0.000432635),	219	
362	(0.000433833),	1078	
362	(0.000433833),	1152	
363	(0.000435032),	960	
364	(0.00043623),	776	
365	(0.000437429),	200	
368	(0.000441024),	692	
369	(0.000442222),	208	
369	(0.000442222),	792	
370	(0.000443421),	1007	
371	(0.000444619),	355	
371	(0.000444619),	980	
371	(0.000444619),	1004	
372	(0.000445818),	722	
372	(0.000445818),	1006	
373	(0.000447016),	119	
374	(0.000448214),	990	
374	(0.000448214),	1024	
375	(0.000449413),	1131	
376	(0.000450611),	805	
376	(0.000450611),	1170	
377	(0.00045181),	214	
377	(0.00045181),	279	
377	(0.00045181),	325	
377	(0.00045181),	673	
379	(0.000454207),	424	
380	(0.000455405),	230	
380	(0.000455405),	1114	
381	(0.000456603),	452	
381	(0.000456603),	616	
382	(0.000457802),	735	
382	(0.000457802),	811	
384	(0.000460199),	593	
384	(0.000460199),	775	
384	(0.000460199),	1268	
385	(0.000461397),	729	
386	(0.000462596),	1167	
387	(0.000463794),	1215	
388	(0.000464993),	503	
389	(0.000466191),	929	
389	(0.000466191),	1256	
389	(0.000466191),	1260	
390	(0.000467389),	96	
391	(0.000468588),	438	
392	(0.000469786),	525	
393	(0.000470985),	70	
394	(0.000472183),	18	
394	(0.000472183),	532	
394	(0.000472183),	935	
394	(0.000472183),	993	
394	(0.000472183),	1140	
395	(0.000473382),	358	
395	(0.000473382),	844	
396	(0.00047458),	243	
397	(0.000475778),	1184	
398	(0.000476977),	516	
398	(0.000476977),	1054	
399	(0.000478175),	361	
399	(0.000478175),	439	
400	(0.000479374),	1117	
400	(0.000479374),	1153	
401	(0.000480572),	1169	
402	(0.000481771),	20	
402	(0.000481771),	82	
